,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK
43087,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-1,"Excelente localização, ambiente agradável, lagosta deliciosa, som ao vivo de bom gosto e atendimento excepcional do garçom evandro.",Jantar,963rodrigog
83989,Coco Bambu Flamboyant,1,5,2014-9-1,2014-10-7,"Achei o atendimento um pouco contraditório, a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar . Vale muito a pena tomar a cerveja argentina Quilmes (dificilmente encontrada na cidade) e o cardápio é maravilhoso com preço...Mais",Tudo muito bom!,Giselly A
91223,Coco Bambu Santo André,2,5,2019-1-1,2019-1-22,"Estivemos no Coco Bambu dia 21/01/2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito. Agradecer aos colaboradores, em especial ao Mauro e Felipe pela delicadeza e tanta atenção aos detalhes. Jantar maravilhoso, pedimos Salmão com crosta de gergelim, mas o coadjuvante...Mais",Noite inesquecível!,elisvarini
12765,Coco Bambu Brasília Shopping,0,5,2018-6-1,2018-6-7,Excelente comida a atendimento do garçom Jarbas. Fomos no happy hour e adoramos. Recomendamos a todos a cocada de forno com sorvete!,Jantar,Jorge G
52278,Coco Bambu SP Market,0,5,2019-7-1,2019-9-3,A comida do Coco Bambu é sempre sensacional! Comentários completamente desnecessários! O atendimento é excelente. Obrigado amigos!,Como a nossa casa,Mario I
41158,Coco Bambu Sul Restaurante,0,5,2018-10-1,2018-10-13,Empada de queijo do reino excelente! Atendimento diferenciado pelo Gerente Maciel.  Música hoje estava bem legal.,Jantar semanal,Lia M
73328,Coco Bambu Bahia,0,5,2022-5-1,2022-5-29,"O garçom Luan é super atencioso, simpático e solicito. Parabéns pelo atendimento.    A comida também estava ótima !",Ótimo atendimento,379marcosantonioc
89519,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-2-22,"Restaurante com um dos melhores cardápios de frutos do mar do Brasil. Atendimento eficiente, boa carta de bebidas e custo benefício excelente. Imperdível",A vista mas bela para uma bela refeição,Alaôr B
77892,Coco Bambu Market Place,1,4,2017-11-1,2017-11-25,"Já havia visitado duas vezes o CB do bairro Anália Franco e gostei do local. Agora, no Morumbi, fui tirar a prova para ver se a rede mantém a qualidade de seus negócios. O resultado foi positivo. Ótimo ambiente, atendimento simpático e atencioso, preços equilibrados,...Mais",Tudo de Bom!!!,ferrazmartins
56021,Coco Bambu Brasília Shopping,0,4,2016-8-1,2016-9-29,"restaurante sofisticado com grande variedade de peixes e frutos do mar, o atendimento é excelente, preço alto.",grande variedade de frutos do mar,Ilde S
